,Date,content,floor,id
0,2019-04-15T13:06:40.733Z,引戰的味道,1,36
1,2019-04-15T13:06:56.967Z,我轉出去 又轉回來了,2,36
2,2019-04-15T13:08:30.037Z,"B1 
我轉過去就可以學中山猴子仔崩潰
反串成中山戰你們了",3,36
3,2019-04-15T13:13:14.406Z,"你轉過去就是中山學生 不算反串了啊

我看你還是別浪費報名費ㄌ",4,36
4,2019-04-15T13:54:50.116Z,啊！不廢話了 反正我考不上中山,5,36
5,2019-04-15T13:56:10.604Z,考上去然後嘴高大阿  ㄏㄏ,6,36
6,2019-04-15T16:06:55.969Z,"快考不然以後畢業證書寫中山大學楠梓校區很難解釋
講自己中山大學
「他媽的拉基學店仔裝自己中山大學喔」
講自己高雄大學
「他媽的拉基學店仔是還有高大喔佔了便宜還賣乖」
可憐喔QQ",7,36
7,2019-04-16T02:36:25.384Z,講的好像很好考一樣幹,8,36
8,2019-04-16T12:52:54.663Z,下去領五塊,9,36
9,2019-04-16T13:46:39.810Z,自己的學校都拿來消費了 我看也沒前途了吧,10,36
10,2019-04-14T10:05:42.010Z,乾泥良擊敗 嚇死誰啊 乾,1,37
11,2019-04-14T10:19:21.827Z,樓上撿到槍,2,37
12,2019-04-14T10:36:51.839Z,過氣,3,37
13,2019-04-14T11:33:39.380Z,笑死,4,37
14,2019-04-14T11:53:21.126Z,乾爹的老母雞白蘭,5,37
15,2019-04-14T12:08:59.069Z,一人一把槍對開啊,6,37
16,2019-04-14T12:32:57.681Z,還以為是光頭哥哥,7,37
17,2019-04-14T12:37:38.427Z,感謝期中好運阿鐘,8,37
18,2019-04-14T13:02:13.437Z,幹,9,37
19,2019-04-14T15:16:20.238Z,b9 趴好,10,37
20,2019-04-14T17:05:26.364Z,https://i.imgur.com/uO5sgjV.jpg,11,37
21,2019-04-14T22:57:55.550Z,B11 我沒過絕對肛死ㄋ啦,12,37
22,2019-04-13T20:28:30.992Z,"就當作是買帳引戰的吧
四大這種素質zzz
尤其是成大那個",1,38
23,2019-04-13T21:45:10.885Z,"現在在學的畢業也是會備註原高雄大學

就算沒有，面試成績單一拿出來別人也知道你那間學校出來的

講得好像合併後我們無痛升級很爽一樣，其實根本沒差

反正現在看起來也是他們吞掉我們，將來母校也是會不見，乾脆不要併了，最後沒錢沒學生就收一收算了，省得在那邊被看不起",2,38
24,2019-04-13T23:15:38.379Z,"別難過，真的併校後受益的也不會是現在的在校生，所以邏輯不正常的人都不需要為他們的話語生氣。
但！好的校名真的能讓我們在出社會找工作更有利，但膨風遲早會被拆穿，實力還是更有意義，各種層次上的意義。
當然也有我們自己的學生不知道是挺自己人還是吹捧害我們被貶低，下到高大 上到台大 只要有’人‘就會有蠢...，不會讀書或會讀書不代表就會有判斷抑或是真心瞭解‘中山與高大的併校‘過程，99.99%的學生我相信都是被污名的甚至有很多學生根本沒用迪卡就被冠上難聽的話。

真的不是高大學生想要找中山併校！
請理性對待整件事的起頭原因！！！",3,38
25,2019-04-14T02:58:39.137Z,低能卡猶如照妖鏡般～,4,38
26,2019-04-14T04:25:22.479Z,"— 高大學生想併校 —
他媽的垃圾學店，可以不要和這種學校併校嗎？ 我考那麼高分不是想和他們在一起

— 高大學生不想併校 —
他媽的得了便宜還裝高清，是沒有腦袋嗎？ 白癡學店不會讀書連腦都沒有嗎？

What! ☺️☺️☺️",5,38
27,2019-04-14T04:29:02.725Z,"說真的學歷升級學生當然會高興，但還是會註記其實根本對就業時沒差

看他們校版之前有跟台大的合併的風聲，自己校內一堆也在高潮還好意思噴我們，整間學校留言都在那裝清高",6,38
28,2019-04-14T04:29:25.199Z,"B5 你知道的太多了😂
反正被併怎麼講錯的都是高大學生QQ",7,38
29,2019-04-14T07:30:52.956Z,我們學校什麼時候開學生的公聽會啊？還是不開？,8,38
30,2019-04-14T08:12:07.058Z,要併不併都給我乾脆一點,9,38
