artTitle,artDate,artTime,artUrl,artCat,sentence
一口串燒，一口啤酒，人生一大樂事！,2018/10/01,16:00:00,http://tw.news.appledaily.com/headline/daily/20181002/38140885/,headline,"【廣編特輯】位於台北美福大飯店三樓的「晴山」，以日本料理為軸心，搭配多元的料理手法，將食材的新鮮以不同形式呈現，並區分為桌席割烹、壽司割烹、炭火割烹及鐵板割烹四大料理主題。台北美福大飯店即日起推出「炭火串燒」套餐，每位NT$2,000+10%，日本A5和牛、西班牙伊比利豬以及現流漁獲等頂級食材入菜，主廚以熟練的廚藝技巧，將食材置於炭上細細烘烤，肉汁滴入炭中造就的熊熊烈火，宛如一場烈火饗宴吸睛不已。即日起至10月31日賓客更可以每瓶優惠價NT$108+10%加購海尼根啤酒，一口爽快咀嚼燒肉串，一口暢飲沁涼啤酒，實為人生一大樂事！, 晴山炭火吧檯區，提供有16人的吧檯座位，與料理檯近距離的空間規劃，讓每位賓客都能看見食材的料理過程。炭火料理著重溫度的控制，要呈現食材最佳的熟度，需仰賴廚師們對炭火溫度的掌控，適時的調整炭火的量，細心留意食材的狀態。吳文雄主廚嚴選日本A5和牛、伊比利豬、現流海鮮及各式烤時蔬，針對不同特性的食材，做適當的烹調。坐在料理台前，滋滋作響的炭火，飄出陣陣的香氣，廚師與賓客零距離的互動，讓食材的美味能適切呈現最佳風味，等待美食的同時就像欣賞了一場美味的視覺饗宴。喜愛小酌的賓客，即日起至10月31日可以NT$108+10%加購海尼根啤酒，亦可選擇各式日本酒、燒酎及果實酒等，為保酒質風味，晴山日本料理均採少量進貨方式，酒款亦不定期更換，讓賓客能一處用餐、多元品嚐，讓美食佳餚成為享受生活不可或缺的要素。, 國中畢業後即踏入餐飲一途的吳文雄主廚，當兵後進入來來飯店(現今台北喜來登大飯店)的7年中，可以說是吳主廚的廚藝生涯轉捩點，當時聘用的日本主廚身性嚴謹，在嚴師出高徒的調教下，吳主廚漸漸了解食材料理的知識，更體會到日本廚師對於料理廚作的精神與堅持。在廚作經驗的累積外，私底下吳主廚對於日文學習也下了一番功夫，並喜愛品嚐全台各地的日本料理餐廳或者前往日本吸取第一線的烹飪手法。對於吳主廚而言，料理是傳遞幸福的最佳途徑之一，每當看到顧客臉上露出喜悅的笑容，將會是吳主廚持續廚作的最佳動力。_台北美福大飯店地址：台北市中山區樂群二路55號 _詳情及訂位請洽晴山日本料理02-7722-3393。,  "
性侵╱性騷擾 哪裡不對了（李心文）,2018/10/01,16:00:00,http://tw.news.appledaily.com/headline/daily/20181002/38141159/,headline,"近日美國高等法院法官候選人性侵案事件，引起爭議。候選人卡瓦納法官（Brett Kavanaugh） 被一位心理系教授福特（Christine Blasey Ford）指控，在1982年時，試圖性侵她。她上周四在公聽會上描述當時的經過。故事大致是，當時她去參加一個趴踢，中間她上樓要去上廁所。她一上樓，就有人從她背後把她推進廁所對面的房間。然後她就看到卡瓦納垮坐在她身上，開始亂脫她的衣服。卡瓦納當時看起來已經是爛醉，加上她當時裡面穿了一件連身的泳裝，因為卡瓦納並沒有成功地把她的衣服脫掉。, 當時在場還有另一名男孩（Mark Judge）， 她看了男孩一眼， 希望他可以幫她。但是這兩個爛醉的男孩看她驚慌痛苦地掙扎，覺得非常好笑，因此兩人不停在大笑。後來她開始尖叫求救，卡瓦納急著把她的嘴摀住，她當時很擔心卡瓦納可能一不小心會殺死她。還好，她後來幸運地成功逃脫。_新聞曝光後，有人質疑，福特教授並沒有真的被性侵，為什麼政府要開公聽會來討論一個36年前都過追訴期的事？她還是好手好腳的，還在當教授咧！就算卡瓦納真的做了許些事，他的行為也沒有傷害到她啊！_牛津大學法學家佳德納（John Gardner）寫過一篇文章叫《強暴錯在哪裡》（The Wrongness of Rape），裡面分析了關於強暴的道德問題。有一種論點主張，強暴他人是不對的，原因是因為施暴者傷害了受害人的身體。佳德納認為，大部分的強暴案，由於受害人會掙扎，因此的確會對受害人的身體造成嚴重的外傷。然而，身體的傷害並不能完全說明強暴所造成的傷害。_比方，小明跟小強說， 你不配合， 我就殺了你全家。小強因為害怕家人被傷害，因此只好配合小明的要求。在這樣的狀況下，小強的身體雖然沒有受外傷，但是他仍然被強暴、被傷害了。因此，強暴的問題， 不只是身體受傷的問題。_, 另一理論主張，強暴會讓受害人一輩子都有無法忘記的陰影，因此強暴的問題，就是心理傷害的問題。佳德納認為這理論也不完全正確。的確，強暴案對多數受害者的心靈造成無可抹滅的影響。那麼，下藥把人迷昏，或是趁人酒醉時性侵他，就可以避免他將來有這個慘痛的回憶了。這樣強暴就沒問題了嗎？當然也不是。佳德納認為，要說明性侵錯在哪裡，最好的解釋，就是康德的理論。康德曾經說過，「不論什麼時候，我們都應該把人當目的，而不是只當工具。」這句話的意思， 簡單地說，就是叫我們要尊重他人的人格、尊嚴與自主權，而不是單純只把他們當成有利用價值的工具。性侵他人的人，就是把他人「只當工具」的人。性侵犯完全不顧對方的意願、人格、尊嚴，只想要利用他人的身體，來滿足自己的慾望。沒有把人當人看，這就是強暴不合乎道德的地方。_, 也就是說，性侵、性騷擾，可能對受害者的傷害不只是身體上的、心靈上的、更還有人格上的傷害。 如果福特教授描述的事件，曾經真實發生，那麼，卡瓦納法官年輕時做的事，對他來說，也許只是覺得好玩，也許他也不是真的想要強　暴當年的福特教授。但是，他不顧福特教授的感覺、違反她身體自主權的那些動作，都是在踐踏他人的人格與尊嚴。為了自己覺得好玩、開心，就完全不顧他人感覺，不尊重他人身體的自主權，就是強暴。_, 美國德拉瓦大學哲學系助理教授_"
轎車神技過彎 騎上電桿鋼索,2018/10/01,16:00:00,http://tw.news.appledaily.com/headline/daily/20181002/38141430/,headline,"【王文傑╱花蓮報導】花蓮縣一名疑似酒駕的男子，從吉安鄉中山路高速右轉要進宜昌一街，過彎不及當場失控，整輛車直接騎上路口電桿的固定鋼索，重達1噸的汽車竟也奇蹟式找到平衡點，呈45度角架在鋼索上，男子則是自行脫困後立即逃逸。路過民眾見狀拍照po上臉書「爆料公社」，笑說：「是有多想充電啊？」網友紛紛回應：「只有唐老大能跟你比」，也感嘆「高手在民間，失手在陰間」，還有網友驚訝台電施工品質這麼好，「這麼重的車騎上去鋼索竟沒斷？好厲害！」, 警方表示，該名駕駛在警方到場前已逃之夭夭，還趁隙拔走車內的行車紀錄器，卻意外留下一張罰單，但遭開罰的民眾與車主為不同人，已聯絡兩人到案說明。警方調閱路口監視器，發現該駕駛自行脫困下車後，曾在路邊攔車要找人協助逃逸，被拒絕後，自行沿中山路方向落跑。_"
性侵小模未遂淫狼遭揭十年舊案,2018/10/02,16:00:00,http://tw.news.appledaily.com/headline/daily/20181003/38142349/,headline,"【呂志明、吳珮如╱台北報導】北市男子施力仁今年3月間，尾隨一名小模返家企圖性侵被逮，遭依加重強制性交未遂罪判刑4年，檢警另比對其DNA，再追出他10年前就以同手法性侵一名女子，並在女子內褲留下精液，台北地檢署日前再依加重強制性交罪起訴施男。, 男子施力仁（42歲）今年3月間，在北市中山北路尾隨年輕貌美的小模返家，趁小模洗澡時闖進屋企圖性侵，因小模冷靜應對，施男沒得逞，施男落網後被依加重性交未遂罪判刑4年。_警方另採集施男檢體與未破舊案比對DNA，赫然發現施男2008年元旦也曾在同路段尾隨落單女子返家，還在樓梯間逼被害人口交並性侵得逞，由於施男在被害人內褲留下精液，成了10年後的破案關鍵。施男雖辯稱，當年是女子主動求歡，不過檢方不予採信，仍依涉犯加重強制性交罪起訴他。_"
反空污公投成案 痛心死人連署 陳英鈐淚灑 中選會將告發,2018/10/02,16:00:00,http://tw.news.appledaily.com/headline/daily/20181003/38142435/,headline,"【綜合報導】引發死人連署、偽造爭議的反空污公投案昨確定成案。中選會副主委陳朝建表示，因該案已達《公民投票法》的法定連署門檻，依法公告本公投案成立。這也是台灣歷年來第7件全國性公投案，將於下月24日和地方九合一選舉投票合併舉行。不過，因中選會查驗發現連署書中死亡人數達1萬1849人，佔全案連署總人數2.38%，陳說，將依《刑事訴訟法》第241條予以職務告發。, 反空污公投案由國民黨台中市長參選人盧秀燕領銜提案，中選會指，總共收到49.6萬份連署書，其中18.2萬份連署書不合格、31.4萬份合格，超過28.1萬份的門檻。_盧秀燕昨下午在立法院總質詢時，緊咬中選會最初點收公投案的份數和最後戶政機關點收的份數不同，「連算數都算不好，年底選票是否也會算錯？」_, 中選會主委陳英鈐解釋，第一份收據是因相信國民黨，先「概略點收」，結果打開後，發現很多不符合規定，給的收據48萬份也只是初步審查結果，最後仍須根據事實認定。但盧秀燕仍痛批中選會做假數據、已信用破產，連行政院長賴清德也動怒反嗆，連署書中有大量死人連署，「不承認錯誤反而推給中選會，這我不能接受。」陳則哽咽說，看到這麼多死人連署的公投成案，「非常痛心。」回到座位後更用手指抹去右眼的眼淚。對於反空污公投案確定綁大選，綠營評估，不會影響綠營中南部選情，尤其此案政治操作明顯，被當作選舉工具，相信選民會「分裂投票」。藍營憂心中選會用刑事告發方式，對公投案打烏賊戰，恐讓民眾對公投案信心下降。師大政治研究所教授范世平認為，此公投案的內容是「逐年降低火力發電廠發電量」，透過立委的職權修法即可，而且並未提出具體的替代方案，恐淪為「口號公投」，對選舉的影響不大。范世平說，前總統馬英九封存核四，現在國民黨陣營主張「以核養綠」，到底國民黨的能源政策是什麼也應說清楚，「這才是責任政治的表現，同時可避免遭到其他政黨攻擊。」_, 中山大學政治系教授廖達琪則表示，國民黨陣營涉及違法偽造一事，表面上看起來是危機，但如果能成功操作議題，例如塑造成遭政治迫害，「說不定可化為轉機，將有助於年底選情。」此外，賴清德昨也公開肯定台中市長林佳龍對改善台中空污有成效，賴認為「台中空氣品質越來越好」，10幾年前的台中火力發電廠，在林佳龍擔任市長後，也日益改善空污問題。_, 4/3．藍委和國民黨台中市長參選人盧秀燕、彰化縣長參選人王惠美到中選會遞交2萬5千份反空污公投第1階段連署書，施壓蔡政府正視空污問題7/3．中選會通過盧秀燕提出「你是否同意以『平均每年至少降低1%』之方式逐年降低火力發電廠發電量？」公投案第2階段連署8/27．國民黨向中選會遞交反空污公投案第2階段連署書48萬8125份。另反深澳電廠、反核災食品2公投案連署也送案9/10．中選會主委陳英鈐透露，反空污公投案連署有高達6成涉及抄寫、2%死人連署，引發爭議10/2．中選會委員會議通過反空污公投案成案資料來源：《蘋果》採訪整理_"
3雷射先驅獲物理獎 突破性發明 讓數百萬近視手術更精確,2018/10/02,16:00:00,http://tw.news.appledaily.com/headline/daily/20181003/38142505/,headline,"諾貝爾獎揭曉 THE NOBEL PRIZE ANNOUNCEMENT 2018【綜合報導】全球矚目的諾貝爾物理學獎昨揭曉，美國、法國和加拿大三位學者以「雷射物理學領域上突破性發明」獲獎，他們的研究包括雷射光學鑷子、高能超短雷射脈衝等，現已廣泛應用在醫界和工業方面，成為先進精準的工具，甚至造福數以百萬計的近視患者。三人分享900萬瑞典克朗（約3062萬元台幣）獎金，同時創下年紀最長得獎者紀錄，及睽違55年來女性首獲物理學獎紀錄。, 現年96歲的美國科學家艾許金（Arthur Ashkin）昨以「光學鑷子與其在生物體系上的應用」成為桂冠學者，獲得一半獎金，並創下諾貝爾得獎者最年長紀錄。被喻為光學陷阱之父的他，研究以雷射光束「陷阱」捕捉和移動粒子、原子和分子等微粒，藉以檢視與操控病毒、細菌和其他活細胞，而不造成破壞。_, 評審形容，這使科幻片化為真實，人類得以利用光來觀察、轉動、切除及推拉各種微粒，並已應用在蛋白質、DNA，或細胞內部的研究上。另一半獎金則由74歲的法國學者莫魯（Gerard Mourou）與加拿大滑鐵盧大學女學者史崔克蘭（Donna Strickland）對分。兩人發明製造人類史上「最短也最強的雷射脈衝」的方法，改寫醫療科技，已應用在數以百萬計的近視矯正手術中。最令人矚目的是，59歲的史崔克蘭是1901年以來，第3位獲得諾貝爾物理學獎的女性，僅繼於1903年居禮夫人（Marie Curie）及1963年梅爾（Maria Goeppert-Mayer）。她昨稱得知自己獲獎「這太瘋狂了！」、「我認為有更多女性學者（值得表揚），我對於能夠成為其中一員而備感榮幸。」前晚才與莫魯通話，討論以雷射模擬黑洞蒸發的晚期「類比黑洞」合作研究計劃的台灣大學物理學系講座教授陳丕燊昨聞訊，為莫魯感到興奮和高興。他推崇莫魯是雷射專家，促成雷射在1986年出現「非常戲劇性的突破」，使雷射功率大幅提高，每5年就成倍數成長。他也說，莫魯對任何新鮮事物都充滿熱情，最近正思考如何運用高功率雷射清除「太空垃圾」。_, 中山大學物理學系副教授嚴祖強表示，艾許金的「光學鑷子」可用雷射操作1個細胞那麼小的生物系統，例如在液體內部或表面操作單一細胞、單一病毒或細菌，或把1個細胞與1個細菌放在一起，檢視兩者如何交互作用。莫魯和史崔克蘭的研究，則是利用時間短、強度強的雷射脈衝，在很短時間聚集很強能量，便於切割和鑽孔操作，但因平均能量很弱，不會造成其他傷害，最知名的運用之一就是眼科手術。_, ．化學獎 10/3下午5時45分．和平獎 10/5下午5時．經濟獎 10/8下午5時45分註：以上時間為台灣時間資料來源：諾貝爾獎官網_"
愛波連線∼乳癌復發轉移，非化療不可嗎？,2018/10/03,16:00:00,http://tw.news.appledaily.com/headline/daily/20181004/38135572/,headline,"【廣編特輯】謝惠珍個管師現職：澄清醫院乳房醫學中心主任專長：乳癌照護台灣每年有上萬名新增的乳癌病友，居女性最好發的癌症首位。一旦乳癌有復發轉移時，難道非化療不可嗎？, 十多年來一直擔任乳癌個管師，與乳房醫學中心團隊一起陪伴病友對抗乳癌的澄清醫院乳房醫學中心主任謝惠珍個管師說，「任何復發轉移的乳癌病友，都會覺得世界末日到了，再次感受到生命受到威脅，常會擔心是不是亂吃偏方，還是吃太多保健食品，才會這樣。會不會又要化療、手術？不管是病友或家屬，都會面對很大的壓力，常覺得已經這麼努力治療了，結果竟然還是這樣，而覺得非常沮喪、恐懼、害怕，不知道下一步要怎麼辦。有時，也會因為擔心副作用，拒絕再次接受治療。」_ 事實上，針對不同種類乳癌的復發轉移，都有不同的治療建議，也不是只有化療一條路，可以走。以佔比最高的荷爾蒙陽性〈HR+〉、HER2陰性〈HER2-〉病友為例。以往是以抗荷爾蒙藥物跟化療為主，現在也可以嘗試CDK4/6口服新藥與抗荷爾蒙藥物合併使用。_ 建議每天口服一次，在用餐時整顆配白開水服用，且不能跟葡萄柚或葡萄柚汁併服。連續治療21天，再停止治療7天，以28天為一個完整的療程。二週要回診抽血檢查白血球的狀況，治療期間，宜避免駕駛或操作機械。_ 謝惠珍個管師分享，「當生命受到威脅，每個人都不會輕易放棄，都會想拚，拚一個我要活下來的奇蹟。像我們有一位不到40歲的乳癌病友，先生還很年輕，孩子也還很小，她就是HR+/ HER2-的病友，距第一次發現罹癌不到三年就復發，因腦轉移不斷惡化，沒辦法走路，由先生推輪椅進來回診，只要聽說吃什麼會好，身經百戰的她都會去嘗試，做了基因檢測後發現，她適合CDK4/6口服新藥與抗荷爾蒙藥物治療，經過一段療程後，她已經可以走進來看門診。」_ 目前乳癌治療上，自費用藥的比重非常非常高，醫療人員常會覺得「病友的經濟能力，能不能負擔得起」最重要，但真的是這樣嗎？_ 謝個管師指出，「我們整個乳房醫學中心的大團隊，包括二位醫師及七位個管師，都非常重視病友的照護品質，常常會透過問卷來了解病友的想法，整年度的問卷作下來，發現病友在醫療決策的優先次序是以療效佔第一位、希望藥物副作用少次之，第三個考量的，才是經濟能力。也就是說病友最在乎的，還是想要保留最長、品質最好的生命。我們也有復發轉移的病友，後來體力恢復的不錯，還可以回去上班且維持不錯的生活品質。」_ 同時，澄清醫院乳房醫學中心也有一個專屬乳癌病友及家屬的LINE群組，不是用來解釋病情，而是用來回覆一些乳癌病友及家屬常常會掛在心上的生活及運動疑問，像是「西瓜、荔枝可不可以吃？鈣片、維生素D3，應該吃多少？有一點水腫，可以做什麼運動？」擁有這樣一個暢通的溝通管道，病友跟家屬會覺得有依靠，也不必累積許多大大小小的疑問，一直要熬到門診時，才能夠詢問。_ 謝惠珍個管師表示，「醫療有機會戰勝乳癌，教育也是戰勝乳癌很重要的一環，醫療與教育，缺一不可，因為，很多病友並不是被乳癌打敗，而是被乳癌復發轉移的恐懼打敗，怕痛、怕傷口流血不止、怕治療無效，也怕治療痛苦而直接放棄，要減少這些未知的恐懼，最重要的是乳房團隊的照護能力。所以，我們不只運用社交媒體提供病友生活上的支持。整個大團隊每年也會舉辦80到100場專業護理人員跟乳癌病友的教育訓練，希望大家能夠更深入了解乳癌，一起攜手戰勝難纏的乳癌。」"
詹順貴傳辭官 政院否認 外界指不滿賴揆施壓觀塘環評 高層：會照程序走,2018/10/03,16:00:00,http://tw.news.appledaily.com/headline/daily/20181004/38143172/,headline,"【洪敏隆、鄭鴻達╱台北報導】環保署環評大會昨續審觀塘工業港區（台灣中油第三天然氣接收站）環境影響差異分析案，14名學者環委僅2人出席，環保署副署長詹順貴也缺席，導致流會。昨晚傳出詹不滿行政院長賴清德施壓此案一定要過關而請辭，但環保署長李應元和行政院均否認；據了解高層釋出此案有機會「照程序走」，詹願留下讓此案圓滿落幕。, 中油目前於台中及高雄各有一座天然氣接收站，北部天然氣需求得仰賴管線往北輸送，加上要達成非核家園目標，天然氣需求增加，因此研擬在北部設置第三座接收站，但遭環團質疑會破壞鄰近藻礁生態。環保署環評委員是由7名官派委員加14名學者組成，觀塘案上月第一次在環評大會審查時，就有5名學者環委集體退席，造成開會人數不足而流會，昨會議又多了4名學者缺席，加上3名學者以做過中油研究案等為由申請利益迴避，學者環委只剩2人出席。_, 開會人數依法定程序須過半，21名環委扣掉3名申請迴避者，剩下18人至少要有10人出席，昨連官派詹順貴都缺席，僅8人與會，主席李應元一度「不死心」，自行宣布先改為說明會，在經濟部次長曾文生說明後，沒人要再表達意見，李以「委員趕不過來」為由宣布散會、下周一繼續開會，但希望這期間繼續溝通。據了解，詹順貴不滿觀塘案被高層要求要翻案過關，但執行不合程序，日前就向李應元請辭，但未獲同意，詹也向媒體透露倦意，壓倒駱駝的最後一根稻草就是觀塘案環評。以往環評大會都由詹主持，但賴清德不滿觀塘案上月首次送審環評大會就流會，把箭頭指向詹，並把李應元叫來政院「訓示」，要求李須親自主持此案環評，詹因此向李請辭但未獲同意，之後兩次環評大會，詹都消極或請病假未出席。_, 詹昨晚透過幕僚告知媒體，他因個人因素請假環評大會，但不否認去年9月至今確實請辭了幾次，並表示「還要為讓環評制度回到正軌努力，請大家幫忙。」李應元昨晚稱詹「今天他沒有請辭」、「人都是會有情緒講一下」、「沒有這回事也不會處理。」環保署以簡訊表示詹請辭「子虛烏有」。政院發言人Kolas Yotaka（谷辣斯．尤達卡）回應，詹昨下午咳嗽不止而請假，並非請辭。知情人士透露，觀塘案的確讓詹不滿，但上面釋放此案可能有機會「照程序走」訊息後，詹願留下讓此案有個圓滿落幕。搶救大潭藻礁行動聯盟召集人潘忠政說，由賴清德主導、李應元執行的觀塘案環評，嚴重違反環評程序、背棄環評精神，可理解詹非常不滿，更凸顯賴「獨裁」手段令人憤怒。_, ●現職：環保署副署長●學歷：台灣大學法律系●經歷：◎元貞聯合法律事務所主持律師◎環保署環評委員◎台灣動物社會研究會理事長◎民間司法改革基金會執行委員●家庭：已婚，妻為惜根台灣協會秘書長林子凌，無子女●任內爭議：2016/9聲援高雄十全果菜市場拆遷抗爭，遭民進黨民代批評2017/6在《環評法施行細則》修法公聽會上，與環團發生口角2018/3深澳電廠環差案，投下支持通過的關鍵票資料來源：《蘋果》資料室_"
環境律師出身 通過深澳環評遭批背叛,2018/10/03,16:00:00,http://tw.news.appledaily.com/headline/daily/20181004/38143180/,headline,"55歲詹順貴是環境律師出身，扁政府執政時就曾受邀擔任環評委員，他長期替環保團體提供法律協助，包括雲林林內焚化爐、台東杉原美麗灣渡假村、中科開發案、苗栗大埔案等訴訟。民進黨前年再次執政，詹受邀擔任環保署副署長，但今年3月環評大會審查深澳燃煤電廠擴建案，擔任會議主席的他投下關鍵贊成票，讓環團錯愕不已。詹上任後多次面臨環境理念和執政拉扯，前年9月高雄市府拆遷十全果菜市場牴觸戶時，詹在臉書貼文表達無法支持拆遷過程，遭民進黨議員痛批是雙面人。去年6月環保署開《環評法施行細則》修正案公聽會，環團質疑部分條文有利財團開發，當場與詹口角。, 去年9月賴清德接任行政院長，詹就因南鐵東移案與賴理念不合而請辭，但在總統蔡英文慰留下續任。今年3月環評大會審查深澳燃煤電廠擴建案，在贊成與反對票數相同下，過去支持禁用生煤的詹竟投贊成票讓此案通過，引來環團痛批背叛。_詹上任時曾說，將《空污法》跟《環評法》修法視為最重要工作，並透露《環評法》修法完成或修得不如預期，就是「該離開的時候」，近日賴揆宣示向開發方靠攏的《環評法》修法方向，加上觀塘案環評執行程序粗暴，讓詹感到挫折。_詹妻、惜根台灣協會秘書長林子凌說，走進官場這條路是詹自己的抉擇，他一直很想要努力改變環評制度，讓制度變得更好，但不如預期時就會起心動念離開。生活中心_"
【#最Hit現場】擦撞機車騎士 轎車失控翻覆,2018/10/03,16:00:00,http://tw.news.appledaily.com/headline/daily/20181004/38143232/,headline,"新北市簡男昨凌晨1時許開車經三峽區中山路及仁愛街口，與郭姓騎士擦撞，轎車失控翻覆騎士受傷，2人幸無礙。江宏倫攝,  "
