artTitle,artDate,artTime,artUrl,artPoster,artCat,commentNum,push,boo,sentence
[問卦]中國天安門廣場舉起孫中山巨型肖像的掛,2018/09/30,23:21:15,https://www.ptt.cc/bbs/Gossiping/M.1538378838.A.281.html,LoveMakeLove,Gossiping,126,35,23,"https://i.imgur.com/ssGYroj.jpg
https://i.imgur.com/lKH7uLt.jpg
今天是中國十一長假第一天，看到這幕令人淚流滿面。

沒想到對岸還記得我們國父    孫中山先生對革命的貢獻。

反觀台灣的中華民國國慶別說國父肖像，連國旗都快消失了，有沒有這方面的八卦？
"
[問卦]中山區的男生都很愛乾淨？,2018/10/01,01:52:06,https://www.ptt.cc/bbs/Gossiping/M.1538387890.A.774.html,soheadsome,Gossiping,15,6,1,"小弟有時候到中山區

路過的男性很多是剛洗完澡的味道

是他們很愛乾淨嗎

有沒有八卦


"
[新聞]太陽能3大廠正式合併　工程師PO百人搶離,2018/10/01,04:26:01,https://www.ptt.cc/bbs/Gossiping/M.1538397125.A.443.html,sleepyuan,Gossiping,35,19,0,"1.媒體來源:
APPLE

2.完整新聞標題:
太陽能3大廠正式合併　工程師PO百人搶離職照

3.完整新聞內文:
台灣太陽能大廠三合一合併案正式生效！新日光、昱晶、昇陽光今日10 月 1日
正式合併，變成聯合再生能源公司。今日合併首日，昱晶內部員工傳出數張2百
名工程師集體離職潮的照片，令人不禁感嘆，「台灣太陽能光產業真的慘到不能
再慘了」。

由於缺乏資金，台灣太陽能產能難以跟中國太陽能產業競爭，中國與台灣太陽能
技術差距也迅速拉近，目前台灣僅能維持小幅度領先。業者表示，台灣太陽能電
池產業也已落入代工的困境，因此幾家太陽能公司整併是勢在必行的趨勢，不過
也造成工作機會的擠壓，因此3家員工個個愁眉苦臉。

昱晶內部員工po出昱晶內部離職潮照片，據員工形容，現場若大的餐廳擠進至少
200個員工，集體排隊辦理離職。程姓工程師說表示，現在3公司整併後，福利可
能不如過往，像三節獎金取消，年終獎金變得不確定，加上太陽能產業的前景不
明，趁年輕就趕緊跳槽另尋他途，比較實際。據了解，昱晶竹南A、B2廠員工數
約1200人，今午初步估計約200個員工辦理離職。像內部蝕刻部員工36人，竟有
30人離職，令人相當訝異。

工作十年的陳姓工程師說，當時進入公司是三節獎金至少0.5個月，後來減為
0.25個月，新公司直接將三節獎金歸零，年終獎金2個月變不確定了，因此才決
定離職。他覺得「終於脫離苦海，但希望公司能藉由合併東山再起，畢竟都有感
情了。」（突發中心楊勝裕／新竹報導）

4.完整新聞連結 (或短網址):
https://tw.news.appledaily.com/life/realtime/20181001/1439765/
5.備註:
一到五樓正在搜尋 104 人力淫行
請八卦板幫忙集氣 QQ  QQ  QQ
"
[問卦]捷運中山站為什麼要叫南西？,2018/10/01,07:00:04,https://www.ptt.cc/bbs/Gossiping/M.1538406367.A.065.html,sigmaaldrich,Gossiping,27,13,4,"新光三越南西

誠品南西

南西商圈


捷運中山站附近什麼時候開始被叫南西？

要不要改名南西站？
"
[爆卦]黑木瞳鈴木保奈美中山美穗,2018/10/01,08:10:01,https://www.ptt.cc/bbs/Gossiping/M.1538410564.A.429.html,annie06045,Gossiping,48,30,1,"黑木瞳(57) 鈴木保奈美(52) 中山美穗(48)

這三大女星今晚在日劇宣傳節目同台


有圖有真相 各位請給分!

黑木瞳 中山美穗
https://i.imgur.com/Z7oyG9h.jpg
https://i.imgur.com/uKFVPNJ.jpg
https://i.imgur.com/7ZmHCFh.jpg
https://i.imgur.com/MPKLtZ1.jpg
鈴木保奈美
https://i.imgur.com/5gie2vy.jpg
https://i.imgur.com/zuZta8l.jpg
https://i.imgur.com/iB4BiSa.jpg"
[問卦]有沒有中山美穗的八卦？,2018/10/01,08:13:48,https://www.ptt.cc/bbs/Gossiping/M.1538410791.A.8C3.html,deepdish,Gossiping,26,18,0,"中山美穗（1970年3月1日－），日本知名歌手、演員。
https://i.imgur.com/Lo3ZW9o.jpg
她曾參演多部大受歡迎的電視劇及電影，因而有「日劇女王」的美名。

1995年出演電影《情書》，

獲得第20回日本報知電影獎最優秀女主角賞及第38回日本電影藍絲帶獎女主角賞。

同年也憑藉電視劇《全為了你》獲得第4回日劇學院賞最佳女主角，精湛的演技備受肯定。

1998年與木村拓哉參演電視劇《沉睡的森林》，獲得第19回日劇學院賞最佳女主角。

歌唱方面，

於80年代末與大概同期出道的工藤靜香、淺香唯及南野洋子被稱為「四大偶像天后」。

有沒有中山美穗的八卦？
"
[問卦]住中山北路算天龍嗎,2018/10/02,20:42:00,https://www.ptt.cc/bbs/Gossiping/M.1538542082.A.D4B.html,kingfsg7326,Gossiping,19,4,1,"中山北路的起點在中正區貫穿忠孝東西路、中山南京東西路

經過中正中山士林，終點在天母中山北路七段

是台北市前幾大的路

不過這幾年似乎榮景不再，旁邊的房子也賣不掉

住中山北路還算天龍嗎
"
[問卦]雲科跟虎科怎不考慮合併的卦?,2018/10/04,07:45:42,https://www.ptt.cc/bbs/Gossiping/M.1538668304.A.B89.html,dan5209,Gossiping,26,8,2,"肥宅我之前去雲林玩,因為我蠻喜歡布袋戲的,

去斗六還是虎尾我忘記了,

但其實雲林還蠻熱鬧的說,生活機能算方便.

然後肥宅我有路過虎科大的大門,椰林大道還蠻長的.

雲科大在斗六市,虎科大在虎尾鎮,都蠻近的.

這幾年不管科大還是普大,都蠻多學校合併了.

肥宅我雖然不是校友,但我個人好奇,

雲科大跟虎科大 怎不會想考慮合併嗎?

有卦嗎?





"
[問卦]中山是不是變成台北澀谷？,2018/10/06,00:38:23,https://www.ptt.cc/bbs/Gossiping/M.1538815466.A.47C.html,klu001,Gossiping,20,10,4,"https://i.imgur.com/5ItYtT3.jpg
中山站商圈最近變得超多人，熱鬧非凡超誇張
請問原因到底是下列哪個？
1. 陸客不來
2. 誠品西南開幕
3. 景氣復甦
4. 其他
有沒有中山站變得超多人的八卦？

"
[問卦]今晚中山北白晝之夜該怎麼玩？,2018/10/06,03:13:34,https://www.ptt.cc/bbs/Gossiping/M.1538824776.A.CDE.html,d995511,Gossiping,16,6,0,"下午才聽聞的活動

從晚上6點到早上6點

整個中山北都是不夜城

到底該怎麼玩啊啊啊啊

求開示
"
